id	Domain	ChapterLevel	uniqTrait	no_rep_phenos	no_rep_disease	no_rep_disease_disorder	indep_phenos	indep_disease	indep_disease_disorder
1768	Cardiovascular	Diseases of the Circulatory System	Cardiovascular disease	0	0	0	0	0	0
1769	Cardiovascular	Diseases of the Circulatory System	Cardiovascular disease	1	1	1	0	0	0
1770	Cardiovascular	Diseases of the Circulatory System	Cardiovascular disease	0	0	0	0	0	0
1771	Cardiovascular	Diseases of the Circulatory System	Cardiovascular disease	0	0	0	0	0	0
1772	Cardiovascular	Diseases of the Circulatory System	Coronary artery disease	0	0	0	0	0	0
1773	Cardiovascular	Diseases of the Circulatory System	Coronary artery disease	0	0	0	0	0	0
1774	Cardiovascular	Diseases of the Circulatory System	Coronary artery disease	0	0	0	0	0	0
1775	Cardiovascular	Diseases of the Circulatory System	Coronary artery disease	0	0	0	0	0	0
1776	Cardiovascular	Diseases of the Circulatory System	Heart failure	0	0	0	0	0	0
1777	Cardiovascular	Diseases of the Circulatory System	Heart failure	0	0	0	0	0	0
1778	Cardiovascular	Diseases of the Circulatory System	Heart failure	0	0	0	0	0	0
1779	Cardiovascular	Diseases of the Circulatory System	Heart failure	0	0	0	0	0	0
1780	Cardiovascular	Diseases of the Circulatory System	Artial fibrillation	1	1	1	0	0	0
1781	Cardiovascular	Diseases of the Circulatory System	Artial fibrillation	0	0	0	0	0	0
1782	Cardiovascular	Diseases of the Circulatory System	Artial fibrillation	0	0	0	0	0	0
1783	Cardiovascular	Diseases of the Circulatory System	Artial fibrillation	0	0	0	0	0	0
1784	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	PR interval	1	0	0	0	0	0
1785	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	PR interval	0	0	0	0	0	0
1786	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	QT interval	0	0	0	0	0	0
1787	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	QT interval	1	0	0	0	0	0
1788	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	QT interval	0	0	0	0	0	0
1789	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	QT interval	0	0	0	0	0	0
1790	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	QT interval	0	0	0	0	0	0
1791	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	QT interval	0	0	0	0	0	0
1792	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RR interval	0	0	0	0	0	0
1793	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RR interval	0	0	0	0	0	0
1794	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RR interval	0	0	0	0	0	0
1795	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RR interval	0	0	0	0	0	0
1796	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RR interval	0	0	0	0	0	0
1797	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RR interval	1	0	0	0	0	0
1798	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	High frequency power HRV	0	0	0	0	0	0
1799	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	High frequency power HRV	1	0	0	0	0	0
1800	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Low/High frequency power HRV	1	0	0	0	0	0
1801	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Low/High frequency power HRV	0	0	0	0	0	0
1802	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Low frequency power HRV	1	0	0	0	0	0
1803	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Low frequency power HRV	0	0	0	0	0	0
1804	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	PNN50 HRV	0	0	0	0	0	0
1805	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	PNN50 HRV	1	0	0	0	0	0
1806	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	SDNN HRV	0	0	0	0	0	0
1807	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	SDNN HRV	1	0	0	0	0	0
1808	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Total power HRV	1	0	0	0	0	0
1809	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Total power HRV	0	0	0	0	0	0
1810	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Very low frequency power HRV	1	0	0	0	0	0
1811	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Very low frequency power HRV	0	0	0	0	0	0
1812	Mortality	Mortality	Biologic age	0	0	0	0	0	0
1813	Mortality	Mortality	Biologic age	1	0	0	0	0	0
1814	Skeletal	Structures Related to Movement	Femoral Neck bone mineral density	0	0	0	0	0	0
1815	Skeletal	Structures Related to Movement	Femoral Neck bone mineral density	0	0	0	0	0	0
1816	Skeletal	Structures Related to Movement	Femoral Neck bone mineral density	0	0	0	0	0	0
1817	Skeletal	Structures Related to Movement	Femoral Neck bone mineral density	0	0	0	0	0	0
1818	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	0	0	0	0	0	0
1819	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	0	0	0	0	0	0
1820	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	0	0	0	0	0	0
1821	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	1	0	0	0	0	0
1822	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	0	0	0	0	0	0
1823	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	0	0	0	0	0	0
1824	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	0	0	0	0	0	0
1825	Skeletal	Structures Related to Movement	Inter-trochanteric buckling ratio	0	0	0	0	0	0
1826	Skeletal	Structures Related to Movement	Spine Neck bone mineral density	0	0	0	0	0	0
1827	Skeletal	Structures Related to Movement	Spine Neck bone mineral density	0	0	0	0	0	0
1828	Skeletal	Structures Related to Movement	Spine Neck bone mineral density	0	0	0	0	0	0
1829	Skeletal	Structures Related to Movement	Spine Neck bone mineral density	1	0	0	0	0	0
1830	Skeletal	Structures Related to Movement	Neck length	1	0	0	0	0	0
1831	Skeletal	Structures Related to Movement	Neck length	0	0	0	0	0	0
1832	Skeletal	Structures Related to Movement	Neck length	0	0	0	0	0	0
1833	Skeletal	Structures Related to Movement	Neck length	0	0	0	0	0	0
1834	Skeletal	Structures Related to Movement	Neck width	1	0	0	0	0	0
1835	Skeletal	Structures Related to Movement	Neck width	0	0	0	0	0	0
1836	Skeletal	Structures Related to Movement	Neck width	0	0	0	0	0	0
1837	Skeletal	Structures Related to Movement	Neck width	0	0	0	0	0	0
1838	Skeletal	Structures Related to Movement	Neck width	0	0	0	0	0	0
1839	Skeletal	Structures Related to Movement	Neck width	0	0	0	0	0	0
1840	Skeletal	Structures Related to Movement	Neck width	0	0	0	0	0	0
1841	Skeletal	Structures Related to Movement	Neck width	0	0	0	0	0	0
1842	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1843	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1844	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1845	Skeletal	Structures Related to Movement	Neck Section Modulus	1	0	0	0	0	0
1846	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1847	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1848	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1849	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1850	Skeletal	Structures Related to Movement	Neck average buckling ratio	1	0	0	0	0	0
1851	Skeletal	Structures Related to Movement	Neck average buckling ratio	0	0	0	0	0	0
1852	Skeletal	Structures Related to Movement	Neck average buckling ratio	0	0	0	0	0	0
1853	Skeletal	Structures Related to Movement	Neck average buckling ratio	0	0	0	0	0	0
1854	Skeletal	Structures Related to Movement	Neck average buckling ratio	0	0	0	0	0	0
1855	Skeletal	Structures Related to Movement	Neck average buckling ratio	0	0	0	0	0	0
1856	Skeletal	Structures Related to Movement	Neck average buckling ratio	0	0	0	0	0	0
1857	Skeletal	Structures Related to Movement	Neck average buckling ratio	0	0	0	0	0	0
1858	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	0	0	0	0	0	0
1859	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	0	0	0	0	0	0
1860	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	0	0	0	0	0	0
1861	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	1	0	0	0	0	0
1862	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	0	0	0	0	0	0
1863	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	0	0	0	0	0	0
1864	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	0	0	0	0	0	0
1865	Skeletal	Structures Related to Movement	Neck cross-sectional moment of inertia	0	0	0	0	0	0
1866	Skeletal	Structures Related to Movement	Neck-Shaft Angle	0	0	0	0	0	0
1867	Skeletal	Structures Related to Movement	Neck-Shaft Angle	0	0	0	0	0	0
1868	Skeletal	Structures Related to Movement	Neck-Shaft Angle	0	0	0	0	0	0
1869	Skeletal	Structures Related to Movement	Neck-Shaft Angle	0	0	0	0	0	0
1870	Skeletal	Structures Related to Movement	Shaft average buckling ratio	0	0	0	0	0	0
1871	Skeletal	Structures Related to Movement	Shaft average buckling ratio	0	0	0	0	0	0
1872	Skeletal	Structures Related to Movement	Shaft average buckling ratio	0	0	0	0	0	0
1873	Skeletal	Structures Related to Movement	Shaft average buckling ratio	0	0	0	0	0	0
1874	Skeletal	Structures Related to Movement	Shaft average buckling ratio	0	0	0	0	0	0
1875	Skeletal	Structures Related to Movement	Shaft average buckling ratio	0	0	0	0	0	0
1876	Skeletal	Structures Related to Movement	Shaft average buckling ratio	0	0	0	0	0	0
1877	Skeletal	Structures Related to Movement	Shaft average buckling ratio	1	0	0	0	0	0
1878	Skeletal	Structures Related to Movement	Shaft cross-sectional moment of inertia	0	0	0	0	0	0
1879	Skeletal	Structures Related to Movement	Shaft cross-sectional moment of inertia	0	0	0	0	0	0
1880	Skeletal	Structures Related to Movement	Shaft cross-sectional moment of inertia	0	0	0	0	0	0
1881	Skeletal	Structures Related to Movement	Shaft cross-sectional moment of inertia	1	0	0	0	0	0
1882	Skeletal	Structures Related to Movement	Shaft cross-sectional moment of inertia	0	0	0	0	0	0
1883	Skeletal	Structures Related to Movement	Shaft cross-sectional moment of inertia	0	0	0	0	0	0
1884	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1885	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1886	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1887	Skeletal	Structures Related to Movement	Shaft Width	1	0	0	0	0	0
1888	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1889	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1890	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1891	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1892	Skeletal	Structures Related to Movement	Shaft Section Modulus	0	0	0	0	0	0
1893	Skeletal	Structures Related to Movement	Shaft Section Modulus	0	0	0	0	0	0
1894	Skeletal	Structures Related to Movement	Shaft Section Modulus	0	0	0	0	0	0
1895	Skeletal	Structures Related to Movement	Shaft Section Modulus	0	0	0	0	0	0
1896	Skeletal	Structures Related to Movement	Shaft Section Modulus	0	0	0	0	0	0
1897	Skeletal	Structures Related to Movement	Shaft Section Modulus	1	0	0	0	0	0
1898	Skeletal	Structures Related to Movement	Troch Neck bone mineral density	0	0	0	0	0	0
1899	Skeletal	Structures Related to Movement	Troch Neck bone mineral density	0	0	0	0	0	0
1900	Skeletal	Structures Related to Movement	Troch Neck bone mineral density	0	0	0	0	0	0
1901	Skeletal	Structures Related to Movement	Troch Neck bone mineral density	1	0	0	0	0	0
1902	Neurological	Structures of the Nervous System	Frontal lobe volume	1	0	0	0	0	0
1903	Neurological	Structures of the Nervous System	Frontal lobe volume	0	0	0	0	0	0
1904	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1905	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1906	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1907	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1908	Neurological	Structures of the Nervous System	Lateral ventricular volume	1	0	0	0	0	0
1909	Neurological	Structures of the Nervous System	Lateral ventricular volume	0	0	0	0	0	0
1910	Neurological	Structures of the Nervous System	Temporal horn volume	1	0	0	0	0	0
1911	Neurological	Structures of the Nervous System	Temporal horn volume	0	0	0	0	0	0
1912	Neurological	Structures of the Nervous System	Occipital brain volume	1	0	0	0	0	0
1913	Neurological	Structures of the Nervous System	Occipital brain volume	0	0	0	0	0	0
1914	Neurological	Structures of the Nervous System	Parietal brain volume	0	0	0	0	0	0
1915	Neurological	Structures of the Nervous System	Parietal brain volume	1	0	0	0	0	0
1916	Neurological	Structures of the Nervous System	Temporal brain volume	0	0	0	0	0	0
1917	Neurological	Structures of the Nervous System	Temporal brain volume	0	0	0	0	0	0
1918	Neurological	Structures of the Nervous System	Total cerebral brain volume	1	0	0	0	0	0
1919	Neurological	Structures of the Nervous System	Total cerebral brain volume	0	0	0	0	0	0
1920	Neurological	Structures of the Nervous System	Frontal lobe volume	0	0	0	0	0	0
1921	Neurological	Structures of the Nervous System	Frontal lobe volume	0	0	0	0	0	0
1922	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1923	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1924	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1925	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1926	Neurological	Structures of the Nervous System	Lateral ventricular volume	0	0	0	0	0	0
1927	Neurological	Structures of the Nervous System	Lateral ventricular volume	0	0	0	0	0	0
1928	Neurological	Structures of the Nervous System	Temporal horn volume	0	0	0	0	0	0
1929	Neurological	Structures of the Nervous System	Temporal horn volume	0	0	0	0	0	0
1930	Neurological	Structures of the Nervous System	Occipital brain volume	0	0	0	0	0	0
1931	Neurological	Structures of the Nervous System	Occipital brain volume	0	0	0	0	0	0
1932	Neurological	Structures of the Nervous System	Parietal brain volume	0	0	0	0	0	0
1933	Neurological	Structures of the Nervous System	Parietal brain volume	0	0	0	0	0	0
1934	Neurological	Structures of the Nervous System	Temporal brain volume	0	0	0	0	0	0
1935	Neurological	Structures of the Nervous System	Temporal brain volume	1	0	0	0	0	0
1936	Neurological	Structures of the Nervous System	Cerebral brain volume	0	0	0	0	0	0
1937	Neurological	Structures of the Nervous System	Cerebral brain volume	1	0	0	0	0	0
1938	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1939	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1940	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1941	Neurological	Structures of the Nervous System	Hippocampal volume	0	0	0	0	0	0
1942	Neurological	Structures of the Nervous System	White matter hyperintensity volume	0	0	0	0	0	0
1943	Neurological	Structures of the Nervous System	White matter hyperintensity volume	1	0	0	0	0	0
1944	Neurological	Structures of the Nervous System	Cerebral brain volume	0	0	0	0	0	0
1945	Neurological	Structures of the Nervous System	Cerebral brain volume	0	0	0	0	0	0
1946	Cognitive	Mental Functions	Visual memory composite score	0	0	0	0	0	0
1947	Cognitive	Mental Functions	Visual memory composite score	1	0	0	0	0	0
1948	Cognitive	Mental Functions	Visuospatial memory and organization	1	0	0	0	0	0
1949	Cognitive	Mental Functions	Visuospatial memory and organization	0	0	0	0	0	0
1950	Cognitive	Mental Functions	Visual scanning and motor speed	0	0	0	0	0	0
1951	Cognitive	Mental Functions	Visual scanning and motor speed	1	0	0	0	0	0
1952	Cognitive	Mental Functions	Boston Naming Test score	0	0	0	0	0	0
1953	Cognitive	Mental Functions	Boston Naming Test score	1	0	0	0	0	0
1954	Cognitive	Mental Functions	Similarities raw score	0	0	0	0	0	0
1955	Cognitive	Mental Functions	Similarities raw score	1	0	0	0	0	0
1956	Cognitive	Mental Functions	Wide Range Achievement Test	1	0	0	0	0	0
1957	Cognitive	Mental Functions	Wide Range Achievement Test	0	0	0	0	0	0
1958	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1959	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1960	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1961	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1962	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1963	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1964	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1965	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1966	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1967	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1968	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1969	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1970	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1971	Cognitive	Mental and Behavioural Disorders	MMSE score	1	0	1	0	0	0
1972	Mortality	Mortality	Morbidity-free survival	0	0	0	0	0	0
1973	Mortality	Mortality	Morbidity-free survival	1	0	0	0	0	0
1974	Mortality	Mortality	Morbidity-free survival	0	0	0	0	0	0
1975	Mortality	Mortality	Morbidity-free survival	0	0	0	0	0	0
1976	Muscular	Neuromusculoskeletal and Movement-Related Functions	Hand grip	0	0	0	0	0	0
1977	Muscular	Neuromusculoskeletal and Movement-Related Functions	Hand grip	1	0	0	0	0	0
1978	Muscular	Neuromusculoskeletal and Movement-Related Functions	Hand grip	0	0	0	0	0	0
1979	Muscular	Neuromusculoskeletal and Movement-Related Functions	Hand grip	0	0	0	0	0	0
1980	Aging	Mobility	Walking speed	0	0	0	0	0	0
1981	Aging	Mobility	Walking speed	1	0	0	0	0	0
1982	Aging	Mobility	Walking speed	0	0	0	0	0	0
1983	Aging	Mobility	Walking speed	0	0	0	0	0	0
1984	Reproduction	Genitourinary and Reproductive Functions	Age at menopause	0	0	0	0	0	0
1985	Reproduction	Genitourinary and Reproductive Functions	Age at menopause	0	0	0	0	0	0
1986	Reproduction	Genitourinary and Reproductive Functions	Age at menopause	0	0	0	0	0	0
1987	Reproduction	Genitourinary and Reproductive Functions	Age at menopause	0	0	0	0	0	0
1988	Mortality	Mortality	Age at death	0	0	0	0	0	0
1989	Mortality	Mortality	Age at death	1	0	0	0	0	0
1990	Mortality	Mortality	Age at death	0	0	0	0	0	0
1991	Mortality	Mortality	Age at death	0	0	0	0	0	0
1992	Mortality	Mortality	Survival past average life expectancy	1	0	0	0	0	0
1993	Mortality	Mortality	Survival past average life expectancy	0	0	0	0	0	0
1994	Mortality	Mortality	Survival past average life expectancy	0	0	0	0	0	0
1995	Mortality	Mortality	Survival past average life expectancy	0	0	0	0	0	0
1996	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1997	Cognitive	Mental and Behavioural Disorders	MMSE score	0	0	0	0	0	0
1998	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
1999	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Hip circumference	0	0	0	0	0	0
2000	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight	0	0	0	0	0	0
2001	Skeletal	Structures Related to Movement	Height	0	0	0	0	0	0
2002	Respiratory	Disease of the Respiratory System	Serum YKL-40 level	1	1	1	0	0	0
2003	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Plasma Lipoprotein A level	1	0	0	0	0	0
2004	Gastrointestinal	Diseases of the Digestive System	Primary biliary cirrhosis	0	0	0	0	0	0
2005	Reproduction	External Causes of Morbidity and Mortality	Maternal transmission distortion	1	0	0	0	0	0
2006	Reproduction	External Causes of Morbidity and Mortality	Paternal transmission distortion	1	0	0	0	0	0
2007	Reproduction	External Causes of Morbidity and Mortality	Parental transmission distortion	1	0	0	0	0	0
2011	Psychiatric	Mental and Behavioural Disorders	Remission following treatment	1	0	1	0	0	0
2012	Psychiatric	Mental and Behavioural Disorders	Remission following treatment	0	0	0	0	0	0
2013	Psychiatric	Mental and Behavioural Disorders	Response following treatment	1	0	1	0	0	0
2014	Psychiatric	Mental and Behavioural Disorders	Response following treatment	0	0	0	0	0	0
2022	Respiratory	Disease of the Respiratory System	Fibrotic idiopathic interstitial pneumonias	1	1	1	0	0	0
2023	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Skin fluorescence	1	1	1	0	0	0
2024	Psychiatric	Mental and Behavioural Disorders	Alcohol dependence	0	0	0	0	0	0
2025	Psychiatric	Mental and Behavioural Disorders	10 mg response to amphetamine	1	0	1	0	0	0
2026	Psychiatric	Mental and Behavioural Disorders	Baseline positive affect factor score	1	0	1	0	0	0
2027	Reproduction	Congenital Malformations, Deformations and Chromosomal Abnormalities	Cryptorchidism	0	0	0	0	0	0
2028	Reproduction	Congenital Malformations, Deformations and Chromosomal Abnormalities	Cryptorchidism	1	0	0	0	0	0
2029	Gastrointestinal	Diseases of the Digestive System	Crohn's Disease	1	1	1	0	0	0
2030	Gastrointestinal	Diseases of the Digestive System	Ulcerative colitis	0	0	0	0	0	0
2031	Gastrointestinal	Diseases of the Digestive System	Inflammatory Bowel Disease	1	1	1	1	1	1
2032	Gastrointestinal	Diseases of the Digestive System	Prognosis in Crohn's Disease	1	1	1	0	0	0
2033	Neurological	Diseases of the Nervous System	Cluster headache	1	1	1	0	0	0
2034	Gastrointestinal	Diseases of the Digestive System	Primary sclerosing cholangitis	1	1	1	0	0	0
2036	Ear, Nose, Throat	Sensory Functions and Pain	Cisplatin-associated ototoxicity	1	0	0	0	0	0
2037	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunoglobulin A deficiency	1	0	0	0	0	0
2038	Cognitive	Mental Functions	Attention function - Alerting	1	0	0	0	0	0
2039	Cognitive	Mental Functions	Attention function - Orienting	1	0	0	0	0	0
2040	Cognitive	Mental Functions	Attention function - Excutive function	1	0	0	0	0	0
2041	Cognitive	Mental Functions	Attention function - Hit reaction time	1	0	0	0	0	0
2042	Cognitive	Mental Functions	Attention function - Standard error of hit reaction time	1	0	0	0	0	0
2043	Psychiatric	Mental and Behavioural Disorders	Bipolar disorder	1	0	1	0	0	0
2044	Gastrointestinal	Diseases of the Digestive System	Severe gingival inflammation	1	1	1	0	0	0
2046	Gastrointestinal	Diseases of the Digestive System	Periodontal complex trait 1 - Socransky trait	1	1	1	0	0	0
2047	Gastrointestinal	Diseases of the Digestive System	Periodontal complex trait 2	1	1	1	0	0	0
2048	Gastrointestinal	Diseases of the Digestive System	Periodontal complex trait 3 - Aa trait	1	1	1	0	0	0
2049	Gastrointestinal	Diseases of the Digestive System	Periodontal complex trait 4	1	1	1	0	0	0
2050	Gastrointestinal	Diseases of the Digestive System	Periodontal complex trait 5 - Pg trait	1	1	1	0	0	0
2051	Gastrointestinal	Diseases of the Digestive System	Periodontal complex trait 5	1	1	1	0	0	0
2052	Ophthalmological	The Eye, Ear and Related Structures	Age-related Macular Degeneration	1	0	0	0	0	0
2053	Neoplasms	Malignant Neoplasms	Advanced adenoma	1	0	0	0	0	0
2054	Psychiatric	Mental and Behavioural Disorders	Percentage improvement after 12 weeks of antidepressant treatment in MDD	1	0	1	0	0	0
2055	Psychiatric	Mental and Behavioural Disorders	Remission after 12 weeks of antidepressant treatment in MDD	1	0	1	0	0	0
2056	Connective Tissue	Diseases of the Musculoskeletal System and Connective Tissue	Rheumatoid Arthritis	0	0	0	0	0	0
2057	Gastrointestinal	Diseases of the Digestive System	Ulcerative colitis	0	0	0	0	0	0
2058	Dermatological	Diseases of the Skin and Subcutaneous Tissue	Psoriasis	0	0	0	0	0	0
2059	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 2 Diabetes	0	0	0	0	0	0
2060	Cell	Function of DNA	C4A C4B - Complement C4b	1	0	0	0	0	0
2061	Cell	Function of DNA	F11 - Coagulation Factor XI	1	0	0	0	0	0
2062	Cell	Function of DNA	CCL27 - C-C motif chemokine 27	1	0	0	0	0	0
2063	Cell	Function of DNA	COL18A1 - Endostatin	1	0	0	0	0	0
2064	Cell	Function of DNA	TIMP1 - Metalloproteinase inhibitor 1	1	0	0	0	0	0
2065	Cell	Function of DNA	PLAT - Tissue-type plasminogen activator	1	0	0	0	0	0
2066	Cell	Function of DNA	PROK1 - Prokineticin-1	1	0	0	0	0	0
2067	Cell	Function of DNA	TIMP2 - Metalloproteinase inhibitor 2	1	0	0	0	0	0
2068	Cell	Function of DNA	TGFB1 - Transforming growth factor beta-1	1	0	0	0	0	0
2069	Cell	Function of DNA	FLT4 - Vascular endothelial growth factor receptor 3	1	0	0	0	0	0
2070	Cell	Function of DNA	C5 - Complement C5	1	0	0	0	0	0
2071	Cell	Function of DNA	APOE - Apolipoprotein E	1	0	0	0	0	0
2072	Cell	Function of DNA	BDNF - Brain-derived neurotrophic factor	1	0	0	0	0	0
2073	Cell	Function of DNA	FGFR1 - Fibroblast growth factor receptor 1	1	0	0	0	0	0
2074	Cell	Function of DNA	C8A C8B C8G - Complement component C8	1	0	0	0	0	0
2075	Cell	Function of DNA	CTSG - Cathepsin G	1	0	0	0	0	0
2076	Cell	Function of DNA	CXCL16 - C-X-C motif chemokine 16	1	0	0	0	0	0
2077	Cell	Function of DNA	FGF10 - Fibroblast growth factor 10	1	0	0	0	0	0
2078	Cell	Function of DNA	FGF8 - Fibroblast growth factor 8 isoform B	1	0	0	0	0	0
2079	Cell	Function of DNA	PLA2G2E - Group IIE secretory phospholipase A2	1	0	0	0	0	0
2080	Cell	Function of DNA	PLA2G5 - Calcium-dependent phospholipase A2	1	0	0	0	0	0
2081	Cell	Function of DNA	IL12A IL12B - Interleukin-12	1	0	0	0	0	0
2082	Cell	Function of DNA	CCL20 - C-C motif chemokine 20	1	0	0	0	0	0
2083	Cell	Function of DNA	APCS - Serum amyloid P-component	1	0	0	0	0	0
2084	Cell	Function of DNA	KIT - Mast/stem cell growth factor receptor Kit	1	0	0	0	0	0
2085	Cell	Function of DNA	TIMP3 - Metalloproteinase inhibitor 3	1	0	0	0	0	0
2086	Cell	Function of DNA	TNFSF12 - Tumor necrosis factor ligand superfamily member 12	1	0	0	0	0	0
2087	Cell	Function of DNA	ANGPT4 - Angiopoietin-4	1	0	0	0	0	0
2088	Cell	Function of DNA	CDH1 - Cadherin-1	1	0	0	0	0	0
2089	Cell	Function of DNA	GFRA3 - GDNF family receptor alpha-3	1	0	0	0	0	0
2090	Cell	Function of DNA	EFNB3 - Ephrin-B3	1	0	0	0	0	0
